label,institution_name,street,post_number,municipality,region,lat,lng
"Specialcenter Sigrid Undset, Frederik Andersensvej 1, 4400, Kalundborg ",Specialcenter Sigrid Undset,Frederik Andersensvej 1,4400,Kalundborg , Sjælland,55.68543776,11.09441862
"Storebæltskolen, Storebælts Erhvervspark 1, 4220, Slagelse ",Storebæltskolen,Storebælts Erhvervspark 1,4220,Slagelse , Sjælland,55.35079614,11.12808438
"Ådalskolen, Eriksvej 4, 4100, Ringsted ",Ådalskolen,Eriksvej 4,4100,Ringsted , Sjælland,55.42622217,11.78092894
"Slagelse Heldagsskole, Rosenkildevej 88D, 4200, Slagelse ",Slagelse Heldagsskole,Rosenkildevej 88D,4200,Slagelse , Sjælland,55.41645653,11.36494776
"Autisme Center Vestsjælland, Rosenkildevej 85, 4200, Slagelse ",Autisme Center Vestsjælland,Rosenkildevej 85,4200,Slagelse , Sjælland,55.42278667,11.36043661
"Rosenkilde Skole, Rosenkildevej 85, 4200, Slagelse ",Rosenkilde Skole,Rosenkildevej 85,4200,Slagelse , Sjælland,55.42278667,11.36043661
"Herrestrup Skole og Videnscenter, Vestergade 10, 4571, Odsherred ",Herrestrup Skole og Videnscenter,Vestergade 10,4571,Odsherred , Sjælland,55.80480211,11.59198809
"Specialskolen Bramsnæsvig, Bramsnæsvigvej 2, 4070, Lejre ",Specialskolen Bramsnæsvig,Bramsnæsvigvej 2,4070,Lejre , Sjælland,55.69045313,11.83980804
"Stevnsfortet, Korsnæbsvej 63, 4673, Stevns ",Stevnsfortet,Korsnæbsvej 63,4673,Stevns , Sjælland,55.26680573,12.40854171
"Heldagsskolen, Almindingensvej 23, 3751, Bornholms Regionskommune",Heldagsskolen,Almindingensvej 23,3751,Bornholms Regionskommune, Hovedstaden,55.13837052,15.00816951
"Kildebakken, Kildesgårdsvej 19, 3770, Bornholms Regionskommune",Kildebakken,Kildesgårdsvej 19,3770,Bornholms Regionskommune, Hovedstaden,55.24129377,14.82439657
"Pilehaveskolen, Stadionvej 10, 5610, Assens ",Pilehaveskolen,Stadionvej 10,5610,Assens , Syddanmark,55.26706755,9.90528715
"Skrillingeskolen, Øresundsvænget 1, 5500, Middelfart ",Skrillingeskolen,Øresundsvænget 1,5500,Middelfart , Syddanmark,55.48726916,9.75868642
"Nyborg Heldagsskole, Pårupvej 25B, 5540, Nyborg ",Nyborg Heldagsskole,Pårupvej 25B,5540,Nyborg , Syddanmark,55.33366655,10.65090466
"Rævebakkeskolen, Skaboeshusevej 96, 5800, Nyborg ",Rævebakkeskolen,Skaboeshusevej 96,5800,Nyborg , Syddanmark,55.33707839,10.796171
"Nørrebjergskolen, Nørrebjergvej 7, 5220, Odense ",Nørrebjergskolen,Nørrebjergvej 7,5220,Odense , Syddanmark,55.36155628,10.47782958
"Enghaveskolen, Roesskovsvej 125, 5200, Odense ",Enghaveskolen,Roesskovsvej 125,5200,Odense , Syddanmark,55.38936383,10.33627834
"Byhaveskolen, Ørbækvej 47, 5700, Svendborg ",Byhaveskolen,Ørbækvej 47,5700,Svendborg , Syddanmark,55.07728364,10.62939882
"Heldagsskolen, Horsebækvej 97, 5450, Nordfyns ",Heldagsskolen,Horsebækvej 97,5450,Nordfyns , Syddanmark,55.5239136,10.35245849
"Louiseskolen, Louisevej 8, 6100, Haderslev ",Louiseskolen,Louisevej 8,6100,Haderslev , Syddanmark,55.2597691,9.48781404
"Kløver-Skolen, Kløvermarken 1, 6400, Sønderborg ",Kløver-Skolen,Kløvermarken 1,6400,Sønderborg , Syddanmark,54.91348997,9.81207323
"Fjordskolen, Åbjerg 8b, 6340, Aabenraa ",Fjordskolen,Åbjerg 8b,6340,Aabenraa , Syddanmark,54.84755148,9.40398884
"Heldagsskolen Stenagergård, Hårupvej 28, 8740, Horsens ",Heldagsskolen Stenagergård,Hårupvej 28,8740,Horsens , Midtjylland,55.93716551,9.59832706
"Fredericiaskolen, Merkurvænget 2, 7000, Fredericia ",Fredericiaskolen,Merkurvænget 2,7000,Fredericia , Syddanmark,55.56379441,9.71296375
"Bakkeskolen, Gl Sognevej 8, 8700, Horsens ",Bakkeskolen,Gl Sognevej 8,8700,Horsens , Midtjylland,55.81690376,9.92773449
"Højvangskolen, Centerklasser, Højvangsallé 20, 8700, Horsens ","Højvangskolen, Centerklasser",Højvangsallé 20,8700,Horsens , Midtjylland,55.83589994,9.85723591
"Lundagerskolen, Skolevej 5 B, Lund, 8700, Horsens ",Lundagerskolen,"Skolevej 5 B, Lund",8700,Horsens , Midtjylland,55.8937949,9.76835213
"Skovagerskolen, Skinbjerg 25, 7300, Vejle ",Skovagerskolen,Skinbjerg 25,7300,Vejle , Syddanmark,55.75124096,9.42342474
"Karen Blixen Skolen, Seestvej 6, 6000, Kolding ",Karen Blixen Skolen,Seestvej 6,6000,Kolding , Syddanmark,55.48826683,9.44671398
"Ådalsskolen, Idrætsvej 1, 6580, Kolding ",Ådalsskolen,Idrætsvej 1,6580,Kolding , Syddanmark,55.43140103,9.27898723
"Valdemarskolen, Valdemarsvej 347, 7400, Herning ",Valdemarskolen,Valdemarsvej 347,7400,Herning , Midtjylland,56.13280838,9.00012598
"Specialkompetence Holstebro, Odinsvej 2, 7500, Holstebro ",Specialkompetence Holstebro,Odinsvej 2,7500,Holstebro , Midtjylland,56.3628451,8.60829619
"Rindum Kjærgaard, Kjærgaardsvej 7, 6950, Ringkøbing-Skjern ",Rindum Kjærgaard,Kjærgaardsvej 7,6950,Ringkøbing-Skjern , Midtjylland,56.09850881,8.25089907
"Skjernåskolen, Klostervej 65, 6900, Ringkøbing-Skjern ",Skjernåskolen,Klostervej 65,6900,Ringkøbing-Skjern , Midtjylland,55.94331835,8.48851815
"Hørningskolen, Vester Alle 18 B, 8362, Skanderborg ",Hørningskolen,Vester Alle 18 B,8362,Skanderborg , Midtjylland,56.08910026,10.03209952
"Pindstrupskolen, Skolevej 1, Pindstrup, 8550, Syddjurs ",Pindstrupskolen,"Skolevej 1, Pindstrup",8550,Syddjurs , Midtjylland,56.39506009,10.41541714
"Djurslandsskolen, Djursvej 10, 8586, Norddjurs ",Djurslandsskolen,Djursvej 10,8586,Norddjurs , Midtjylland,56.4421642,10.6846425
"Hadruplund, Hadrupvej 41, 8350, Odder ",Hadruplund,Hadrupvej 41,8350,Odder , Midtjylland,55.93772793,10.04057447
"Oust Mølleskolen, Oust Møllevej 25, 8920, Randers ",Oust Mølleskolen,Oust Møllevej 25,8920,Randers , Midtjylland,56.47516576,9.989395
"Randers Specialskole, Borup Byvej 14, 8920, Randers ",Randers Specialskole,Borup Byvej 14,8920,Randers , Midtjylland,56.50327867,9.96476933
"Dybkær Specialskole, Arendalsvej 273, 8600, Silkeborg ",Dybkær Specialskole,Arendalsvej 273,8600,Silkeborg , Midtjylland,56.19023585,9.59611557
"Kaløvigskolen, Sanatorievej 38, 8541, Aarhus ",Kaløvigskolen,Sanatorievej 38,8541,Aarhus , Midtjylland,56.26017233,10.34297394
"Langagerskolen, Bøgeskov Høvej 10, 8260, Aarhus ",Langagerskolen,Bøgeskov Høvej 10,8260,Aarhus , Midtjylland,56.1183673,10.13354792
"Stensagerskolen, Stensagervej 9-11, 8260, Aarhus ",Stensagerskolen,Stensagervej 9-11,8260,Aarhus , Midtjylland,56.13123879,10.14670675
"Erslev Skole, Bårupvej 15, 7950, Morsø ",Erslev Skole,Bårupvej 15,7950,Morsø , Nordjylland,56.83188285,8.74770958
"Krabbeshus Heldagsskole, Strandvejen 11, 7800, Skive ",Krabbeshus Heldagsskole,Strandvejen 11,7800,Skive , Midtjylland,56.57778826,9.0455871899999991
"Rosenvængets Skole, Rørsangervej 3A, 8800, Viborg ",Rosenvængets Skole,Rørsangervej 3A,8800,Viborg , Midtjylland,56.44194873,9.37728349
"Astrup Skole, Hadsundvej 11, 9510, Mariagerfjord ",Astrup Skole,Hadsundvej 11,9510,Mariagerfjord , Nordjylland,56.76499319,9.98308532
"Tranhøjskolen, Tranhøj 20 A, 9460, Jammerbugt ",Tranhøjskolen,Tranhøj 20 A,9460,Jammerbugt , Nordjylland,57.13068604,9.46207792
"Kursus og Undervisning Nordenfjords, Kirkegade 42, 9460, Jammerbugt ",Kursus og Undervisning Nordenfjords,Kirkegade 42,9460,Jammerbugt , Nordjylland,57.09365414,9.52485831
"Læringscenter Himmerland, Skibstedvej 26, Skibsted, 9293, Rebild ",Læringscenter Himmerland,"Skibstedvej 26, Skibsted",9293,Rebild , Nordjylland,56.86721355,10.06739923
"Egebakken, Gennem Bakkerne 5, 9310, Aalborg ",Egebakken,Gennem Bakkerne 5,9310,Aalborg , Nordjylland,57.11377465,10.02519741
"Kollegievejens Skole, Kollegievej 1, 9000, Aalborg ",Kollegievejens Skole,Kollegievej 1,9000,Aalborg , Nordjylland,57.0249643,9.94521663
"Vestermarkskolen Aars, Vestre Boulevard 17, 9600, Vesthimmerlands ",Vestermarkskolen Aars,Vestre Boulevard 17,9600,Vesthimmerlands , Nordjylland,56.8013337,9.50448778
